Nom de la fête ou manifestation;Catégorie de la fête ou manifestation;Adresse1;Adresse partie 1 suite;Adresse partie 2;Adresse partie 3;Code postal;Commune de la fête ou manifestation;Bureau distributeur de l'adresse postale;Cedex de l'adresse postale;Code Insee de la Commune;Latitude;Longitude;Point d'accès/Nom/distance en km;N° de téléphone fixe;N° de téléphone mobile;N° de fax;localisation;departement
FINALE DU TREMPLIN V AND B FEST;Concert;;Espace Saint-Fiacre;Quai Docteur Georges Lefèvre;;53200;CHATEAU-GONTIER-SUR-MAYENNE;;;53062;47.8241118;-0.6988299;;;;;47.8241118,-0.6988299;Mayenne
FINALES COUPES SARTHE DE HANDBALL;Manifestation sportive;Gymnase Olympe;;;;72400;LA FERTE-BERNARD;;;72132;48.1823819;0.64812421;;06.76.41.09.94;;;48.1823819,0.64812421;Sarthe
FLEURISSE'MANS;Fêtes populaires;;;Esplanade des Jacobins;;72000;LE MANS;;;72181;48.0081292;0.200516;;02 43 47 49 92;;;48.0081292,0.200516;Sarthe
FOOTBALL FÉMININ - PORTES OUVERTES;Manifestation sportive;;;Stage Jean Vincent;;44250;SAINT-BREVIN-LES-PINS;;;44154;47.24145;-2.16134;;02 28 53 96 54;;;47.24145,-2.16134;Loire-Atlantique
FORMATION COMPLÈTE EN MAGNÉTISME À BAUGÉ;Stages-Atelier-Jeux;;;59, Place du Marché;Baugé;49150;BAUGE-EN-ANJOU;;;49018;47.5428683;-0.1056962;;;06 13 44 01 36;;47.5428683,-0.1056962;Maine-et-Loire
FÊTE COMME DANS L'TEMPS;Fêtes populaires;;Ferme du Plessis;;Le Grand Plessis - LIRE;49530;OREE D'ANJOU;;;49069;47.3332568;-1.1773971;;;06 85 30 73 98;;47.3332568,-1.1773971;Maine-et-Loire
FÊTE DE LA COMMUNE;Fêtes populaires;Terrain Salle polyvalente;;;;72160;LA CHAPELLE-SAINT-REMY;;;72067;48.093372;0.466151;;02 43 93 46 12;;;48.093372,0.466151;Sarthe
FÊTE DE LA LAINE - PAR LE MOHAIR DU PETIT FAITEAU;Marché;;Bonjour Bonsoir;Lieu-dit Le Petit Faîteau;;49170;SAINT-GEORGES-SUR-LOIRE;;;49283;47.42445;-0.76176;;;06.30.76.67.19;;47.42445,-0.76176;Maine-et-Loire
FÊTE DE LA MUSIQUE - SEGRÉ;Manifestation Nationale;;;;Segré;49500;SEGRÉ-EN-ANJOU BLEU;;;49331;47.689224;-0.868363;;02 41 92 17 83;;;47.689224,-0.868363;Maine-et-Loire
FÊTE DE LA ST DENIS;Fêtes populaires;Salle Polyvalente;;;;72400;CORMES;;;72093;48.16935;0.70422;;02 43 71 04 17;;;48.16935,0.70422;Sarthe
FÊTE DES PLANTES - JARDINS DU CHÂTEAU DU PIN;Sortie nature / environnement;;Château du Pin;;;49123;CHAMPTOCE-SUR-LOIRE;;;49068;47.42749;-0.84974;;;06 11 68 61 81;;47.42749,-0.84974;Maine-et-Loire
FÊTE DU CHEVAL;Fêtes populaires;;;;;72460;SAVIGNE-L'EVEQUE;;;72329;48.07743;0.30164;;02 43 27 53 25;;;48.07743,0.30164;Sarthe
FÊTE DU JEU;;;Parc d'Activités de la Guerche;Salle Étoile de Jade;Avenue Georges Brassens;44250;SAINT-BREVIN-LES-PINS;;;44154;47.23647;-2.15601;;02 40 27 70 12;;02 40 27 79 33;47.23647,-2.15601;Loire-Atlantique
FÊTE DU PAIN;Fêtes populaires;;;Le Bois Niel;Saint Omer de Blain;44130;BLAIN;;;44015;47.4757752;-1.8535186;Gare SNCF||Gare de Nantes||41,1,Route (nationale/départ.)||RN 137||20,Route (nationale/départ.)||RN 171||6,5;;;;47.4757752,-1.8535186;Loire-Atlantique
FÊTE DU PORT DE PREFAILLES;Brocantes & vide-greniers;;;Pointe Saint-Gildas;;44770;PREFAILLES;;;44136;47.13591;-2.2451;;02 40 21 60 37;;;47.13591,-2.2451;Loire-Atlantique
FÊTE FORAINE DU CARNAVAL;Fêtes populaires;;;Esplanade de la Grange;Parking Parc de Moine;49300;CHOLET;;;49099;47.05562;-0.87859;;02 41 62 28 09;;;47.05562,-0.87859;Maine-et-Loire
FÊTE NATIONALE DU 14 JUILLET;Concert;;;Boulevard de la Tara;;44770;LA PLAINE-SUR-MER;;;44126;47.14468;-2.22844;;02 40 21 50 14;;;47.14468,-2.22844;Loire-Atlantique
GALA DE GYMNASTIQUE;Manifestation sportive;Salle Olympe;;;;72400;LA FERTE-BERNARD;;;72132;48.180472;0.642277;;06 52 16 48 43;;;48.180472,0.642277;Sarthe
GALA MODERN'JAZZ;Danse (spectacle);;;;;72460;SAVIGNE-L'EVEQUE;;;72329;48.076935;0.300514;;;;;48.076935,0.300514;Sarthe
GRATIFÉRIA;Brocantes & vide-greniers;;Maison de quartier Georges Moustaki;211 Rue des Maillets;;72000;Le Mans;;;72181;48.0170455;0.2158664;Route (nationale/départ.)||||;09 81 41 49 32;;;48.0170455,0.2158664;Sarthe
GRATIFÉRIA : DONS DE VÊTEMENTS 0 À 12 ANS;Brocantes & vide-greniers;211 rue des Maillets;;211 Rue des Maillets;211 rue des Maillets;72000;Le Mans;;;72181;48.0170455;0.2158664;Route (nationale/départ.)||211 rue des Maillets||,Transport en commun||Tramway T2 - Maillets Zamenhof||;09 81 41 49 32;;;48.0170455,0.2158664;Sarthe
INITIATION A LA DANSE CELTIQUE;Stages-Atelier-Jeux;;;Les Halles;;44760;LA BERNERIE-EN-RETZ;;;44012;47.08052;-2.03658;;;;;47.08052,-2.03658;Loire-Atlantique
INITIATION A LA DEGUSTATION AU CHATEAU DU CLERAY A VALLET;Visites et sorties à thèmes;;;;;44330;VALLET;;;44212;47.160929;-1.265138;;02.40.36.22.55;;;47.160929,-1.265138;Loire-Atlantique
INITIATION À L'ESCALADE;Stages-Atelier-Jeux;;;Vallée des grottes de Saulges;Moulin de la Roche-Brault;53270;THORIGNE-EN-CHARNIE;;;53264;47.9938294;-0.4004112;;;;;47.9938294,-0.4004112;Mayenne
INITIATIONS AU GOLF;Manifestation sportive;;Sainte Marie sur Mer;Golf de Pornic;Avenue Scalby Newby;44210;PORNIC;;;44131;47.12057;-2.1198;;02 40 82 06 69;;;47.12057,-2.1198;Loire-Atlantique
JADE DANSE FESTIVAL;Stages-Atelier-Jeux;;;Salle Étoile de Jade;Avenue Georges Brassens;44250;SAINT-BREVIN-LES-PINS;;;44154;47.23469;-2.15421;;;06 70 56 48 25;;47.23469,-2.15421;Loire-Atlantique
JE VAIS T'AIMER;Spectacle;;Antarès;2 Avenue Antares;;72100;LE MANS;;;72181;47.956751;0.226448;Transport en commun||Tramway T1 - Terminus Antarès/MMArena||0,1;;;;47.956751,0.226448;Sarthe
JEU DE PISTE NUMÉRIQUE À CLISSON AVEC  ZÉLIE LA LIBELLULE .;Visites et sorties à thèmes;;;;;44190;CLISSON;;;44043;47.0858332;-1.2815555;;02 40 54 02 95;;;47.0858332,-1.2815555;Loire-Atlantique
